payment_id,amount,attempt_number,checkout_started,checkout_duration_seconds,customer_age_days,lifetime_value,successful_payments,failed_payments,previous_recoveries,contact_opted_out,failure_rate,recovery_history_rate,high_value_customer,high_amount,multiple_attempt,recovery_success
PAY_00051,19444.92,3,0,587,257,74053.81,43,7,4,0,0.13725490196078433,0.5,1,0,1,0
PAY_00052,21393.17,3,1,546,299,57607.2,29,0,4,0,0.0,4.0,1,0,1,1
PAY_00053,49606.47,3,0,202,89,50650.82,18,4,2,1,0.17391304347826086,0.4,1,1,1,0
PAY_00056,23516.88,3,1,137,862,89355.63,38,3,2,0,0.07142857142857142,0.5,1,0,1,1
PAY_00057,19582.74,3,0,305,910,73048.23,38,0,2,0,0.0,2.0,1,0,1,1
PAY_00059,38704.63,1,1,34,1447,28154.78,50,3,5,0,0.05555555555555555,1.25,0,1,0,1
PAY_00060,49825.71,3,0,224,1290,94340.82,41,7,4,0,0.14285714285714285,0.5,1,1,1,0
PAY_00061,16014.86,3,1,584,903,43072.19,12,0,2,1,0.0,2.0,0,0,1,1
PAY_00062,13779.15,2,1,37,65,89960.14,8,8,2,0,0.47058823529411764,0.2222222222222222,1,0,1,1
PAY_00063,21062.01,2,0,510,1288,48074.41,13,3,2,0,0.17647058823529413,0.5,0,0,1,0
PAY_00064,7145.48,2,0,253,693,67792.08,5,1,1,0,0.14285714285714285,0.5,1,0,1,1
PAY_00066,2213.73,1,0,312,257,74053.81,43,7,4,0,0.13725490196078433,0.5,1,0,0,1
PAY_00069,49495.63,3,0,493,1250,11977.63,34,0,3,0,0.0,3.0,0,1,1,0
PAY_00070,25214.97,2,1,483,236,32279.42,23,0,0,0,0.0,0.0,0,0,1,0
PAY_00071,25396.7,2,1,567,390,69175.47,17,7,3,0,0.28,0.375,1,0,1,1
PAY_00074,18529.95,2,0,536,409,8147.0,12,0,0,1,0.0,0.0,0,0,1,0
PAY_00075,31125.94,3,1,24,1209,89588.63,36,4,0,0,0.0975609756097561,0.0,1,1,1,0
PAY_00076,40630.49,3,1,390,1209,24913.03,17,7,1,1,0.28,0.125,0,1,1,0
PAY_00079,20633.98,3,1,564,200,12783.22,26,2,4,0,0.06896551724137931,1.3333333333333333,0,0,1,1
PAY_00080,37597.5,2,0,179,1228,21122.18,37,5,0,0,0.11627906976744186,0.0,0,1,1,0
PAY_00082,15666.75,2,1,428,862,89355.63,38,3,2,0,0.07142857142857142,0.5,1,0,1,1
PAY_00083,33567.83,2,1,527,910,73048.23,38,0,2,0,0.0,2.0,1,1,1,1
PAY_00084,22145.47,3,0,189,677,51617.59,21,1,4,1,0.043478260869565216,2.0,1,0,1,1
PAY_00086,2605.85,1,1,490,693,67792.08,5,1,1,0,0.14285714285714285,0.5,1,0,0,1
PAY_00088,48876.18,2,1,591,1255,50418.48,39,7,3,0,0.14893617021276595,0.375,1,1,1,1
PAY_00089,24083.37,2,0,239,280,10026.73,6,4,5,0,0.36363636363636365,1.0,0,0,1,1
PAY_00092,40325.93,1,0,87,553,15912.46,22,3,4,0,0.11538461538461539,1.0,0,1,0,1
PAY_00093,5534.75,2,1,354,322,42137.56,5,2,3,1,0.25,1.0,0,0,1,1
PAY_00094,28919.58,1,0,450,515,4953.84,3,7,2,0,0.6363636363636364,0.25,0,1,0,0
PAY_00095,1273.29,3,1,63,1263,45712.97,41,1,4,1,0.023255813953488372,2.0,0,0,1,0
PAY_00096,554.23,1,1,346,915,40450.6,39,7,2,1,0.14893617021276595,0.25,0,0,0,0
PAY_00097,29733.5,3,1,545,1261,70750.5,19,7,3,0,0.25925925925925924,0.375,1,1,1,0
PAY_00099,49700.96,3,0,190,216,9661.2,19,1,0,0,0.047619047619047616,0.0,0,1,1,0
PAY_00100,30777.2,2,1,55,1220,73494.9,8,2,0,0,0.18181818181818182,0.0,1,1,1,0
PAY_00101,14269.06,3,0,85,390,69175.47,17,7,3,0,0.28,0.375,1,0,1,0
PAY_00103,40564.15,2,1,230,401,14267.85,34,3,3,0,0.07894736842105263,0.75,0,1,1,1
PAY_00104,22026.39,2,1,498,1413,65985.9,10,7,4,0,0.3888888888888889,0.5,1,0,1,1
PAY_00112,27960.29,1,0,75,1323,3151.55,44,6,2,0,0.11764705882352941,0.2857142857142857,0,1,0,0
PAY_00114,40350.81,1,0,356,910,73048.23,38,0,2,0,0.0,2.0,1,1,0,1
PAY_00116,46566.26,2,1,236,758,15912.64,43,2,0,1,0.043478260869565216,0.0,0,1,1,0
PAY_00117,2351.56,2,0,266,915,40450.6,39,7,2,1,0.14893617021276595,0.25,0,0,1,0
PAY_00118,9348.02,1,1,531,1228,21122.18,37,5,0,0,0.11627906976744186,0.0,0,0,0,0
PAY_00123,37307.87,1,0,374,409,8147.0,12,0,0,1,0.0,0.0,0,1,0,0
PAY_00125,20847.7,1,1,41,862,89355.63,38,3,2,0,0.07142857142857142,0.5,1,0,0,1
PAY_00126,17315.23,3,0,471,1447,28154.78,50,3,5,0,0.05555555555555555,1.25,0,0,1,0
PAY_00127,6395.48,3,0,95,903,43072.19,12,0,2,1,0.0,2.0,0,0,1,0
PAY_00128,41240.9,2,1,549,1267,69147.82,22,1,5,0,0.041666666666666664,2.5,1,1,1,1
PAY_00131,47191.79,2,1,168,1447,28154.78,50,3,5,0,0.05555555555555555,1.25,0,1,1,1
PAY_00132,31166.97,3,0,110,877,99305.38,47,5,5,1,0.09433962264150944,0.8333333333333334,1,1,1,0
PAY_00133,15672.63,3,1,520,390,63225.62,10,2,0,0,0.15384615384615385,0.0,1,0,1,0
PAY_00134,28485.78,2,0,295,483,34822.32,31,3,5,0,0.08571428571428572,1.25,0,1,1,1
PAY_00135,8617.21,3,1,190,870,18624.66,22,2,1,1,0.08,0.3333333333333333,0,0,1,0
PAY_00136,37181.15,3,1,415,70,97953.22,27,1,1,0,0.034482758620689655,0.5,1,1,1,1
PAY_00137,23406.99,2,1,91,206,70090.59,24,2,5,0,0.07407407407407407,1.6666666666666667,1,0,1,1
PAY_00139,15234.63,3,1,231,409,74256.02,17,4,0,0,0.18181818181818182,0.0,1,0,1,0
PAY_00140,41558.03,3,1,501,1115,14055.21,25,1,2,0,0.037037037037037035,1.0,0,1,1,1
PAY_00141,7305.21,2,0,67,354,50898.88,27,7,3,1,0.2,0.375,1,0,1,0
PAY_00142,25963.05,3,1,480,903,43072.19,12,0,2,1,0.0,2.0,0,0,1,1
PAY_00144,39349.22,3,0,561,340,45239.98,42,8,2,0,0.1568627450980392,0.2222222222222222,0,1,1,0
PAY_00146,6524.7,3,1,391,72,42941.72,15,4,5,0,0.2,1.0,0,0,1,1
PAY_00147,12010.77,2,0,230,919,80781.06,47,2,2,0,0.04,0.6666666666666666,1,0,1,1
PAY_00148,37465.05,2,1,460,1290,94340.82,41,7,4,0,0.14285714285714285,0.5,1,1,1,1
PAY_00149,25533.8,2,1,416,1209,24913.03,17,7,1,1,0.28,0.125,0,0,1,0
PAY_00150,23955.11,1,0,510,553,15912.46,22,3,4,0,0.11538461538461539,1.0,0,0,0,1
PAY_00151,40861.21,1,1,94,730,79440.83,19,2,0,0,0.09090909090909091,0.0,1,1,0,0
PAY_00152,49046.66,3,0,162,70,97953.22,27,1,1,0,0.034482758620689655,0.5,1,1,1,0
PAY_00154,16256.38,3,1,275,299,57607.2,29,0,4,0,0.0,4.0,1,0,1,1
PAY_00155,31046.57,3,0,279,553,15912.46,22,3,4,0,0.11538461538461539,1.0,0,1,1,0
PAY_00156,13675.92,2,1,298,1413,65985.9,10,7,4,0,0.3888888888888889,0.5,1,0,1,1
PAY_00157,27788.72,3,1,160,338,16143.26,6,6,3,1,0.46153846153846156,0.42857142857142855,0,1,1,0
PAY_00160,26346.28,3,0,269,72,42941.72,15,4,5,0,0.2,1.0,0,1,1,0
PAY_00161,47998.81,3,1,352,910,73048.23,38,0,2,0,0.0,2.0,1,1,1,1
PAY_00162,42969.69,2,1,540,1255,50418.48,39,7,3,0,0.14893617021276595,0.375,1,1,1,1
PAY_00163,45228.43,2,0,439,1220,73494.9,8,2,0,0,0.18181818181818182,0.0,1,1,1,0
PAY_00167,27395.33,3,0,160,1342,40353.06,5,4,4,1,0.4,0.8,0,1,1,0
PAY_00168,11404.35,2,1,273,682,91016.27,45,8,3,0,0.14814814814814814,0.3333333333333333,1,0,1,1
PAY_00169,27552.02,1,0,271,136,25219.17,15,2,2,0,0.1111111111111111,0.6666666666666666,0,1,0,0
PAY_00170,6143.08,1,1,293,171,97410.98,30,6,5,0,0.16216216216216217,0.7142857142857143,1,0,0,1
PAY_00171,19472.79,2,0,525,758,15912.64,43,2,0,1,0.043478260869565216,0.0,0,0,1,0
PAY_00172,14670.61,2,0,251,730,79440.83,19,2,0,0,0.09090909090909091,0.0,1,0,1,0
PAY_00173,46737.38,3,1,484,1228,21122.18,37,5,0,0,0.11627906976744186,0.0,0,1,1,0
PAY_00174,46281.33,2,1,173,1290,94340.82,41,7,4,0,0.14285714285714285,0.5,1,1,1,1
PAY_00175,38039.63,1,0,467,1263,45712.97,41,1,4,1,0.023255813953488372,2.0,0,1,0,0
PAY_00176,36677.39,2,1,25,730,79440.83,19,2,0,0,0.09090909090909091,0.0,1,1,1,0
PAY_00177,15972.24,1,0,553,680,91013.48,11,4,5,0,0.25,1.0,1,0,0,1
PAY_00179,37284.51,2,0,217,346,37347.43,20,0,0,0,0.0,0.0,0,1,1,0
PAY_00180,1474.89,3,1,85,877,99305.38,47,5,5,1,0.09433962264150944,0.8333333333333334,1,0,1,1
PAY_00182,28085.97,2,0,537,236,32279.42,23,0,0,0,0.0,0.0,0,1,1,0
PAY_00183,18685.37,3,1,39,200,12783.22,26,2,4,0,0.06896551724137931,1.3333333333333333,0,0,1,1
PAY_00186,7932.98,1,0,120,206,70090.59,24,2,5,0,0.07407407407407407,1.6666666666666667,1,0,0,1
PAY_00187,15601.51,2,0,320,308,5868.74,15,1,4,0,0.058823529411764705,2.0,0,0,1,1
PAY_00188,46502.55,2,0,395,1416,99901.82,35,7,3,0,0.16279069767441862,0.375,1,1,1,0
PAY_00189,31835.13,1,0,50,409,8147.0,12,0,0,1,0.0,0.0,0,1,0,0
PAY_00194,24986.26,1,1,111,1393,49098.21,26,5,2,0,0.15625,0.3333333333333333,0,0,0,0
PAY_00198,44180.86,1,0,249,205,6644.65,18,1,5,0,0.05,2.5,0,1,0,1
PAY_00199,2579.65,1,1,404,975,27366.74,38,8,0,0,0.1702127659574468,0.0,0,0,0,0
PAY_00200,14532.87,3,1,409,1323,3151.55,44,6,2,0,0.11764705882352941,0.2857142857142857,0,0,1,0
PAY_00201,26320.15,2,0,442,1250,11977.63,34,0,3,0,0.0,3.0,0,0,1,1
PAY_00203,39935.24,3,1,340,870,18624.66,22,2,1,1,0.08,0.3333333333333333,0,1,1,0
PAY_00204,27287.85,3,1,124,1276,56084.84,17,2,4,0,0.1,1.3333333333333333,1,1,1,1
PAY_00207,34331.03,2,0,435,527,65536.31,16,0,2,1,0.0,2.0,1,1,1,1
PAY_00208,46822.66,2,0,307,483,34822.32,31,3,5,0,0.08571428571428572,1.25,0,1,1,1
PAY_00211,11553.39,1,1,11,899,13853.46,36,8,4,0,0.17777777777777778,0.4444444444444444,0,0,0,0
PAY_00214,987.27,3,0,272,1255,50418.48,39,7,3,0,0.14893617021276595,0.375,1,0,1,0
PAY_00215,45068.5,1,1,38,1413,65985.9,10,7,4,0,0.3888888888888889,0.5,1,1,0,1
PAY_00216,47109.8,1,0,350,1037,48267.91,50,5,4,0,0.08928571428571429,0.6666666666666666,0,1,0,0
PAY_00219,30083.51,3,0,532,569,74105.59,41,6,1,0,0.125,0.14285714285714285,1,1,1,0
PAY_00220,27429.75,3,1,338,928,89884.64,27,3,3,0,0.0967741935483871,0.75,1,1,1,1
PAY_00221,15878.89,2,1,579,693,67792.08,5,1,1,0,0.14285714285714285,0.5,1,0,1,1
PAY_00222,17139.39,2,1,418,206,70090.59,24,2,5,0,0.07407407407407407,1.6666666666666667,1,0,1,1
PAY_00223,12470.77,3,1,138,1342,40353.06,5,4,4,1,0.4,0.8,0,0,1,0
PAY_00225,16343.28,3,0,48,322,42137.56,5,2,3,1,0.25,1.0,0,0,1,0
PAY_00227,2210.09,1,1,261,72,42941.72,15,4,5,0,0.2,1.0,0,0,0,1
PAY_00228,19403.96,2,1,417,236,32279.42,23,0,0,0,0.0,0.0,0,0,1,0
PAY_00230,39938.39,3,0,155,285,20184.3,36,5,0,0,0.11904761904761904,0.0,0,1,1,0
PAY_00231,22621.37,1,1,217,1230,39994.67,30,3,1,0,0.08823529411764706,0.25,0,0,0,0
PAY_00233,37338.51,1,0,319,1094,73578.86,45,3,0,0,0.061224489795918366,0.0,1,1,0,0
PAY_00234,5144.67,3,1,161,1209,24913.03,17,7,1,1,0.28,0.125,0,0,1,0
PAY_00236,46252.52,3,0,130,136,25219.17,15,2,2,0,0.1111111111111111,0.6666666666666666,0,1,1,0
PAY_00238,2540.4,2,0,460,1342,40353.06,5,4,4,1,0.4,0.8,0,0,1,0
PAY_00240,8663.22,3,0,558,1290,94340.82,41,7,4,0,0.14285714285714285,0.5,1,0,1,0
PAY_00242,38074.56,1,1,191,758,15912.64,43,2,0,1,0.043478260869565216,0.0,0,1,0,0
PAY_00243,21699.97,3,0,21,322,42137.56,5,2,3,1,0.25,1.0,0,0,1,0
PAY_00244,11702.88,2,0,344,1416,99901.82,35,7,3,0,0.16279069767441862,0.375,1,0,1,1
PAY_00245,5337.13,3,1,589,553,77716.81,45,0,2,0,0.0,2.0,1,0,1,1
PAY_00246,19281.16,1,0,299,732,78389.87,2,3,3,0,0.5,0.75,1,0,0,1
PAY_00247,49396.35,2,0,311,340,45239.98,42,8,2,0,0.1568627450980392,0.2222222222222222,0,1,1,0
PAY_00249,18226.98,2,1,394,205,6644.65,18,1,5,0,0.05,2.5,0,0,1,1
PAY_00251,31565.29,2,1,433,207,86343.46,19,7,2,1,0.25925925925925924,0.25,1,1,1,0
PAY_00253,41675.16,2,1,431,903,43072.19,12,0,2,1,0.0,2.0,0,1,1,1
PAY_00254,34655.97,2,1,496,569,74105.59,41,6,1,0,0.125,0.14285714285714285,1,1,1,1
PAY_00258,20490.44,3,0,565,1396,81326.59,20,3,3,0,0.125,0.75,1,0,1,1
PAY_00261,30504.98,3,1,125,236,32279.42,23,0,0,0,0.0,0.0,0,1,1,0
PAY_00263,38846.26,2,1,472,72,75329.07,24,6,3,0,0.1935483870967742,0.42857142857142855,1,1,1,1
PAY_00264,18233.19,2,1,533,1393,49098.21,26,5,2,0,0.15625,0.3333333333333333,0,0,1,0
PAY_00265,15748.95,1,1,107,693,67792.08,5,1,1,0,0.14285714285714285,0.5,1,0,0,1
PAY_00266,5661.6,2,1,141,552,26171.31,12,5,5,0,0.2777777777777778,0.8333333333333334,0,0,1,1
PAY_00269,19220.15,3,1,236,553,77716.81,45,0,2,0,0.0,2.0,1,0,1,1
PAY_00271,27343.63,1,0,417,903,43072.19,12,0,2,1,0.0,2.0,0,1,0,0
PAY_00273,31116.68,2,1,264,200,12783.22,26,2,4,0,0.06896551724137931,1.3333333333333333,0,1,1,1
PAY_00275,18446.73,2,0,338,346,37347.43,20,0,0,0,0.0,0.0,0,0,1,0
PAY_00276,22515.23,3,0,380,206,70090.59,24,2,5,0,0.07407407407407407,1.6666666666666667,1,0,1,1
PAY_00277,41423.82,3,0,442,631,78290.05,14,5,1,0,0.25,0.16666666666666666,1,1,1,0
PAY_00278,16933.17,3,0,597,553,15912.46,22,3,4,0,0.11538461538461539,1.0,0,0,1,0
PAY_00281,30429.5,3,1,397,919,80781.06,47,2,2,0,0.04,0.6666666666666666,1,1,1,1
PAY_00282,41714.81,2,0,512,730,79440.83,19,2,0,0,0.09090909090909091,0.0,1,1,1,0
PAY_00283,42489.45,3,1,554,1227,56689.47,46,3,0,0,0.06,0.0,1,1,1,0
PAY_00284,39103.43,1,1,352,552,49407.4,48,2,5,0,0.0392156862745098,1.6666666666666667,0,1,0,1
PAY_00285,18240.37,2,0,156,322,42137.56,5,2,3,1,0.25,1.0,0,0,1,0
PAY_00286,6317.32,1,1,263,877,99305.38,47,5,5,1,0.09433962264150944,0.8333333333333334,1,0,0,1
PAY_00287,10413.96,1,0,510,919,80781.06,47,2,2,0,0.04,0.6666666666666666,1,0,0,1
PAY_00289,34998.65,3,0,377,877,99305.38,47,5,5,1,0.09433962264150944,0.8333333333333334,1,1,1,0
PAY_00290,48903.67,3,0,579,1351,96630.49,13,4,3,1,0.2222222222222222,0.6,1,1,1,0
PAY_00291,39319.68,1,0,223,1267,69147.82,22,1,5,0,0.041666666666666664,2.5,1,1,0,1
PAY_00294,16240.01,1,1,255,65,89960.14,8,8,2,0,0.47058823529411764,0.2222222222222222,1,0,0,1
PAY_00296,2037.35,1,1,398,390,63225.62,10,2,0,0,0.15384615384615385,0.0,1,0,0,1
PAY_00297,46856.4,2,0,589,1354,46101.12,15,0,3,0,0.0,3.0,0,1,1,1
PAY_00298,14734.64,2,1,322,1263,45712.97,41,1,4,1,0.023255813953488372,2.0,0,0,1,1
PAY_00299,34552.87,2,0,292,271,31163.15,18,2,3,1,0.09523809523809523,1.0,0,1,1,0
PAY_00300,19527.33,1,1,41,1261,70750.5,19,7,3,0,0.25925925925925924,0.375,1,0,0,1
PAY_00304,3832.43,1,0,107,877,99305.38,47,5,5,1,0.09433962264150944,0.8333333333333334,1,0,0,1
PAY_00305,15747.6,1,1,422,915,40450.6,39,7,2,1,0.14893617021276595,0.25,0,0,0,0
PAY_00306,21785.76,3,0,283,732,78389.87,2,3,3,0,0.5,0.75,1,0,1,0
PAY_00308,27073.57,3,1,464,144,42122.85,45,8,0,1,0.14814814814814814,0.0,0,1,1,0
PAY_00311,8789.08,3,0,362,677,51617.59,21,1,4,1,0.043478260869565216,2.0,1,0,1,1
PAY_00313,5080.22,3,0,199,308,5868.74,15,1,4,0,0.058823529411764705,2.0,0,0,1,0
PAY_00314,10091.37,3,1,229,1354,46101.12,15,0,3,0,0.0,3.0,0,0,1,1
PAY_00316,39029.0,1,0,179,1262,28091.7,50,4,4,0,0.07272727272727272,0.8,0,1,0,0
PAY_00318,6128.09,1,1,431,325,74347.47,12,0,3,0,0.0,3.0,1,0,0,1
PAY_00320,32293.91,3,1,26,1125,51600.95,30,0,4,0,0.0,4.0,1,1,1,1
PAY_00321,23480.09,1,0,364,72,42941.72,15,4,5,0,0.2,1.0,0,0,0,1
PAY_00322,33696.14,1,1,566,975,27366.74,38,8,0,0,0.1702127659574468,0.0,0,1,0,0
PAY_00325,30898.54,2,1,455,1094,73578.86,45,3,0,0,0.061224489795918366,0.0,1,1,1,0
PAY_00327,10294.94,3,0,42,285,20184.3,36,5,0,0,0.11904761904761904,0.0,0,0,1,0
PAY_00328,22094.26,1,0,351,631,78290.05,14,5,1,0,0.25,0.16666666666666666,1,0,0,0
PAY_00331,35120.53,1,1,373,552,26171.31,12,5,5,0,0.2777777777777778,0.8333333333333334,0,1,0,1
PAY_00332,6997.13,1,0,490,878,68360.11,49,4,5,0,0.07407407407407407,1.0,1,0,0,1
PAY_00334,42812.37,1,1,498,462,91937.28,21,2,1,0,0.08333333333333333,0.3333333333333333,1,1,0,1
PAY_00335,15742.41,3,1,216,1220,73494.9,8,2,0,0,0.18181818181818182,0.0,1,0,1,0
PAY_00336,24333.13,3,1,73,89,50650.82,18,4,2,1,0.17391304347826086,0.4,1,0,1,0
PAY_00337,34863.57,2,0,519,401,14267.85,34,3,3,0,0.07894736842105263,0.75,0,1,1,0
PAY_00338,39428.76,1,1,283,719,59566.33,11,1,1,0,0.07692307692307693,0.5,1,1,0,1
PAY_00339,47981.63,3,1,263,271,31163.15,18,2,3,1,0.09523809523809523,1.0,0,1,1,0
PAY_00341,42702.74,3,0,73,409,74256.02,17,4,0,0,0.18181818181818182,0.0,1,1,1,0
PAY_00342,5057.5,1,1,523,717,73368.97,48,6,2,0,0.10909090909090909,0.2857142857142857,1,0,0,1
PAY_00345,29394.24,1,1,537,1276,56084.84,17,2,4,0,0.1,1.3333333333333333,1,1,0,1
PAY_00346,44203.6,3,1,161,1200,48187.07,26,5,1,0,0.15625,0.16666666666666666,0,1,1,0
PAY_00347,37642.56,1,0,562,682,91016.27,45,8,3,0,0.14814814814814814,0.3333333333333333,1,1,0,0
PAY_00349,46051.28,1,1,505,758,15912.64,43,2,0,1,0.043478260869565216,0.0,0,1,0,0
PAY_00350,10251.86,3,1,104,1354,46101.12,15,0,3,0,0.0,3.0,0,0,1,1
PAY_00352,40299.12,3,1,272,915,40450.6,39,7,2,1,0.14893617021276595,0.25,0,1,1,0
PAY_00353,14017.01,2,0,485,401,14267.85,34,3,3,0,0.07894736842105263,0.75,0,0,1,1
PAY_00354,44446.91,1,0,173,1255,50418.48,39,7,3,0,0.14893617021276595,0.375,1,1,0,0
PAY_00356,45914.37,3,1,29,390,69175.47,17,7,3,0,0.28,0.375,1,1,1,0
PAY_00357,27485.11,1,0,322,915,40450.6,39,7,2,1,0.14893617021276595,0.25,0,1,0,0
PAY_00358,21313.23,1,0,509,1209,24913.03,17,7,1,1,0.28,0.125,0,0,0,0
PAY_00359,30831.09,1,1,20,719,59566.33,11,1,1,0,0.07692307692307693,0.5,1,1,0,1
PAY_00361,45228.37,1,1,111,1414,2915.74,8,0,5,0,0.0,5.0,0,1,0,1
PAY_00362,46992.4,1,0,335,631,78290.05,14,5,1,0,0.25,0.16666666666666666,1,1,0,0
PAY_00363,43338.32,3,0,323,322,42137.56,5,2,3,1,0.25,1.0,0,1,1,0
PAY_00364,35248.01,3,1,181,1094,73578.86,45,3,0,0,0.061224489795918366,0.0,1,1,1,0
PAY_00366,33308.18,1,1,547,338,16143.26,6,6,3,1,0.46153846153846156,0.42857142857142855,0,1,0,0
PAY_00367,42640.16,1,1,18,322,42137.56,5,2,3,1,0.25,1.0,0,1,0,1
PAY_00369,48419.99,2,0,218,1227,56689.47,46,3,0,0,0.06,0.0,1,1,1,0
PAY_00373,26947.29,2,0,501,682,91016.27,45,8,3,0,0.14814814814814814,0.3333333333333333,1,1,1,0
PAY_00374,42775.91,3,1,65,171,97410.98,30,6,5,0,0.16216216216216217,0.7142857142857143,1,1,1,1
PAY_00375,24120.28,3,0,451,1115,14055.21,25,1,2,0,0.037037037037037035,1.0,0,0,1,0
PAY_00377,8939.94,2,1,283,915,40450.6,39,7,2,1,0.14893617021276595,0.25,0,0,1,0
PAY_00381,14389.75,1,0,16,70,97953.22,27,1,1,0,0.034482758620689655,0.5,1,0,0,1
PAY_00383,9987.47,1,1,284,346,37347.43,20,0,0,0,0.0,0.0,0,0,0,0
PAY_00384,9984.51,1,0,549,70,97953.22,27,1,1,0,0.034482758620689655,0.5,1,0,0,1
PAY_00387,42720.71,1,0,87,1255,50418.48,39,7,3,0,0.14893617021276595,0.375,1,1,0,0
PAY_00388,25660.81,2,0,158,552,49407.4,48,2,5,0,0.0392156862745098,1.6666666666666667,0,0,1,1
PAY_00389,4042.34,2,1,281,340,45239.98,42,8,2,0,0.1568627450980392,0.2222222222222222,0,0,1,0
PAY_00391,3238.09,2,1,403,1200,48187.07,26,5,1,0,0.15625,0.16666666666666666,0,0,1,0
PAY_00392,43262.62,1,0,79,552,26171.31,12,5,5,0,0.2777777777777778,0.8333333333333334,0,1,0,0
PAY_00395,16217.64,2,0,69,206,70090.59,24,2,5,0,0.07407407407407407,1.6666666666666667,1,0,1,1
PAY_00397,22775.25,3,1,511,631,78290.05,14,5,1,0,0.25,0.16666666666666666,1,0,1,0
PAY_00398,16236.58,3,0,210,1290,94340.82,41,7,4,0,0.14285714285714285,0.5,1,0,1,0
PAY_00399,11513.43,2,0,575,409,8147.0,12,0,0,1,0.0,0.0,0,0,1,0
